ollama-1  | [GIN] 2026/08/27 - 03:17:42 | 200 |      33.917┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:17:42 | 200 |     561.092┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:17:53 | 200 |      42.441┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:17:53 | 200 |    2.025559ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:18:03 | 200 |    1.611592ms |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:18:03 | 200 |     444.217┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:18:13 | 200 |      41.433┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:18:13 | 200 |    2.889976ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:18:26 | 200 |      49.317┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:18:26 | 200 |     440.734┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:18:36 | 200 |        36.7┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:18:36 | 200 |    2.284101ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:18:47 | 200 |        37.4┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:18:47 | 200 |     521.601┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:18:58 | 200 |       104.5┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:18:58 | 200 |       503.5┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:19:08 | 200 |      41.159┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:19:08 | 200 |     587.859┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:19:06 | 200 |      42.717┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:19:06 | 200 |     519.016┬╡s |       127.0.0.1 | GET      "/api/tags"
