ollama-1  | [GIN] 2026/08/27 - 02:58:28 | 200 |       36.85┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 02:58:28 | 200 |     628.375┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 02:58:39 | 200 |      38.775┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 02:58:39 | 200 |    3.319525ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 02:58:49 | 200 |      75.166┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 02:58:49 | 200 |     960.758┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 02:59:02 | 200 |   25.236197ms |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 02:59:02 | 200 |   41.328646ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 02:59:13 | 200 |        44.6┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 02:59:13 | 200 |    4.852699ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 02:59:12 | 200 |        94.5┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 02:59:12 | 200 |       2.481ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 02:59:22 | 200 |       153.5┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 02:59:22 | 200 |       799.1┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 02:59:47 | 200 |        38.8┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 02:59:47 | 200 |       579.8┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 02:59:59 | 200 |        59.3┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 02:59:59 | 200 |      1.1443ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:00:11 | 200 |        36.7┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:00:11 | 200 |      4.1277ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:00:23 | 200 |      34.283┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:00:23 | 200 |     879.175┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:00:34 | 200 |        80.9┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:00:34 | 200 |      1.0915ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:00:46 | 200 |        83.4┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:00:46 | 200 |       829.3┬╡s |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:00:59 | 200 |     106.792┬╡s |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:00:59 | 200 |    7.391449ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | [GIN] 2026/08/27 - 03:01:10 | 200 |    3.198524ms |       127.0.0.1 | HEAD     "/"
ollama-1  | [GIN] 2026/08/27 - 03:01:10 | 200 |      620.95┬╡s |       127.0.0.1 | GET      "/api/tags"
